Afar,aar,iso 639-2
Abkhazian,abk,iso 639-2
Achinese,ace,iso 639-2
Acoli,ach,iso 639-2
Adangme,ada,iso 639-2
Adyghe,ady,iso 639-2
Afrikaans,afr,iso 639-2
Ainu,ain,iso 639-2
Aleut,ale,iso 639-2
Southern Altai,alt,iso 639-2
Amharic,amh,iso 639-2
Angika,anp,iso 639-2
Aragonese,arg,iso 639-2
Armenian,hye,iso 639-2
Mapudungun,arn,iso 639-2
Arapaho,arp,iso 639-2
Arawak,arw,iso 639-2
Assamese,asm,iso 639-2
Asturian,ast,iso 639-2
Avaric,ava,iso 639-2
Awadhi,awa,iso 639-2
Bashkir,bak,iso 639-2
Bambara,bam,iso 639-2
Balinese,ban,iso 639-2
Basque,eus,iso 639-2
Basa,bas,iso 639-2
Beja,bej,iso 639-2
Belarusian,bel,iso 639-2
Bemba,bem,iso 639-2
Bengali,ben,iso 639-2
Bhojpuri,bho,iso 639-2
Bini,bin,iso 639-2
Bislama,bis,iso 639-2
Siksika,bla,iso 639-2
Tibetan,bod,iso 639-2
Bosnian,bos,iso 639-2
Braj,bra,iso 639-2
Breton,bre,iso 639-2
Buginese,bug,iso 639-2
Bulgarian,bul,iso 639-2
Burmese,mya,iso 639-2
Bilin,byn,iso 639-2
Caddo,cad,iso 639-2
Galibi Carib,car,iso 639-2
Catalan,cat,iso 639-2
Cebuano,ceb,iso 639-2
Czech,ces,iso 639-2
Chamorro,cha,iso 639-2
Chechen,che,iso 639-2
Chuukese,chk,iso 639-2
Chinook jargon,chn,iso 639-2
Choctaw,cho,iso 639-2
Chipewyan,chp,iso 639-2
Cherokee,chr,iso 639-2
Chuvash,chv,iso 639-2
Cheyenne,chy,iso 639-2
Cornish,cor,iso 639-2
Corsican,cos,iso 639-2
Crimean Tatar,crh,iso 639-2
Kashubian,csb,iso 639-2
Welsh,cym,iso 639-2
Czech,ces,iso 639-2
Dakota,dak,iso 639-2
Danish,dan,iso 639-2
Dargwa,dar,iso 639-2
German,deu,iso 639-2
Dogrib,dgr,iso 639-2
Dhivehi,div,iso 639-2
Lower Sorbian,dsb,iso 639-2
Duala,dua,iso 639-2
Dutch,nld,iso 639-2
Dyula,dyu,iso 639-2
Dzongkha,dzo,iso 639-2
Efik,efi,iso 639-2
Ekajuk,eka,iso 639-2
Modern Greek,ell,iso 639-2
English,eng,iso 639-2
Basque,eus,iso 639-2
Ewe,ewe,iso 639-2
Ewondo,ewo,iso 639-2
Fang,fan,iso 639-2
Faroese,fao,iso 639-2
Fanti,fat,iso 639-2
Fijian,fij,iso 639-2
Filipino,fil,iso 639-2
Finnish,fin,iso 639-2
Fon,fon,iso 639-2
French,fra,iso 639-2
French,fra,iso 639-2
Northern Frisian,frr,iso 639-2
Eastern Frisian,frs,iso 639-2
Western Frisian,fry,iso 639-2
Friulian,fur,iso 639-2
Ga,gaa,iso 639-2
Gayo,gay,iso 639-2
Georgian,kat,iso 639-2
German,deu,iso 639-2
Gilbertese,gil,iso 639-2
Scottish Gaelic,gla,iso 639-2
Irish,gle,iso 639-2
Galician,glg,iso 639-2
Manx,glv,iso 639-2
Gorontalo,gor,iso 639-2
Modern Greek,ell,iso 639-2
Swiss German,gsw,iso 639-2
Gujarati,guj,iso 639-2
Gwichʼin,gwi,iso 639-2
Haitian,hat,iso 639-2
Hausa,hau,iso 639-2
Hawaiian,haw,iso 639-2
Hebrew,heb,iso 639-2
Herero,her,iso 639-2
Hiligaynon,hil,iso 639-2
Hindi,hin,iso 639-2
Hiri Motu,hmo,iso 639-2
Croatian,hrv,iso 639-2
Upper Sorbian,hsb,iso 639-2
Hungarian,hun,iso 639-2
Hupa,hup,iso 639-2
Armenian,hye,iso 639-2
Iban,iba,iso 639-2
Igbo,ibo,iso 639-2
Icelandic,isl,iso 639-2
Sichuan Yi,iii,iso 639-2
Iloko,ilo,iso 639-2
Indonesian,ind,iso 639-2
Ingush,inh,iso 639-2
Icelandic,isl,iso 639-2
Italian,ita,iso 639-2
Javanese,jav,iso 639-2
Japanese,jpn,iso 639-2
Judeo-Persian,jpr,iso 639-2
Kara-Kalpak,kaa,iso 639-2
Kabyle,kab,iso 639-2
Kachin,kac,iso 639-2
Kalaallisut,kal,iso 639-2
Kamba,kam,iso 639-2
Kannada,kan,iso 639-2
Kashmiri,kas,iso 639-2
Georgian,kat,iso 639-2
Kazakh,kaz,iso 639-2
Kabardian,kbd,iso 639-2
Khasi,kha,iso 639-2
Central Khmer,khm,iso 639-2
Kikuyu,kik,iso 639-2
Kinyarwanda,kin,iso 639-2
Kirghiz,kir,iso 639-2
Kimbundu,kmb,iso 639-2
Korean,kor,iso 639-2
Kosraean,kos,iso 639-2
Karachay-Balkar,krc,iso 639-2
Karelian,krl,iso 639-2
Kurukh,kru,iso 639-2
Kuanyama,kua,iso 639-2
Kumyk,kum,iso 639-2
Kutenai,kut,iso 639-2
Ladino,lad,iso 639-2
Lamba,lam,iso 639-2
Lao,lao,iso 639-2
Lezghian,lez,iso 639-2
Limburgan,lim,iso 639-2
Lingala,lin,iso 639-2
Lithuanian,lit,iso 639-2
Mongo,lol,iso 639-2
Lozi,loz,iso 639-2
Luxembourgish,ltz,iso 639-2
Luba-Lulua,lua,iso 639-2
Luba-Katanga,lub,iso 639-2
Ganda,lug,iso 639-2
Luiseno,lui,iso 639-2
Lunda,lun,iso 639-2
Luo,luo,iso 639-2
Lushai,lus,iso 639-2
Macedonian,mkd,iso 639-2
Madurese,mad,iso 639-2
Magahi,mag,iso 639-2
Marshallese,mah,iso 639-2
Maithili,mai,iso 639-2
Makasar,mak,iso 639-2
Malayalam,mal,iso 639-2
Maori,mri,iso 639-2
Marathi,mar,iso 639-2
Masai,mas,iso 639-2
Moksha,mdf,iso 639-2
Mandar,mdr,iso 639-2
Mende,men,iso 639-2
Mi'kmaq,mic,iso 639-2
Minangkabau,min,iso 639-2
Macedonian,mkd,iso 639-2
Maltese,mlt,iso 639-2
Manchu,mnc,iso 639-2
Manipuri,mni,iso 639-2
Mohawk,moh,iso 639-2
Mossi,mos,iso 639-2
