ObservationURI,ObservationName,SpecimenLabel,SpecimenURI,GeologicUnitName,FeatureOfInterestURI,LithologyTerm,RockName,SamplingFeatureURI,SamplingFeatureName,SampleCollectionDate,LocalityTerms,TectonicProvince,County,State,PLSS_Meridians,"Township",Range,Section_,SectionPart,LatDegree,LongDegree,SRS,LocationUncertaintyStatement,ElevationDatum_m,SampleDepth_m,SampleMeasurementDate,SampleType,SampleMass_kg,OverburdenThickness_m,SampleDensity_g-cc,UncertainDensity,Laboratory,LaboratoryURI,RadioactivityMeasurementDevice,MeasurementProcedure,SampleCureDuration,MeasurementCount,Uranium,Thorium,Potassium,HeatProduction_mWm3,HeatProductionUncertainty,Notes,MetadataURI,Source
251 B,251 B,251B,,,,,Granite,,,,,Interior Lowlands,,MN,,120N,45W,11,CCD,45.21261587,-96.26712519,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.00,95.88,2.38,7.03,0.016 per ?W m-3,,,
221 A,221 A,221A,,,,,Granite,,,,,Interior Lowlands,,MN,,120N,45W,4,ABA,45.23551444,-96.28870856,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.00,81.67,2.46,6.03,0.016 per ?W m-3,,,
ART-2,ART-2,ART-2,,,,,Granite,,,,,Interior Lowlands,,MN,,68N,20W,1,BBD,48.39986579,-92.83721356,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,4.32,63.42,3.90,6.00,0.016 per ?W m-3,,,
225 B,225 B,225B,,,,,Granite,,,,,Interior Lowlands,,MN,,114N,37W,8,CCD,44.68862537,-95.33951406,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.49,49.28,3.24,3.93,0.016 per ?W m-3,,,
ART-6,ART-6,ART-6,,,,,Monzonite,,,,,Interior Lowlands,,MN,,68N,20W,31,DCC,48.33689973,-92.96285178,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.32,48.21,2.24,3.72,0.016 per ?W m-3,,,
1985-14 180.5-181.5,1985-14 180.5-181.5,1985-14 180.5-181.5,,Unnamed,,,Granite,,,,,Interior Lowlands,Todd,MN,,127N,32W,27,CAD,45.78,-94.7,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.00,42.45,3.14,3.19,0.016 per ?W m-3,,,
227,227,227,,,,,Granite,,,,,Interior Lowlands,,MN,,114N,37W,17,CDD,44.67879983,-95.33926983,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,2.10,41.84,3.04,3.81,0.016 per ?W m-3,,,
OG-1,OG-1,OG-1,,,,,Granite,,,,,Interior Lowlands,,MN,,121N,46W,35,DAA,45.25485391,-96.4058547,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.00,41.24,2.26,3.14,0.016 per ?W m-3,,,
512,512,512,,,,,Granite,,,,,Interior Lowlands,,MN,,136N,33W,1,DAA,46.63021532,-94.79128591,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.00,37.17,3.94,3.01,0.016 per ?W m-3,,,
529,529,529,,,,,Granite,,,,,Interior Lowlands,,MN,,167N,35W,10,AAB,49.30580137,-95.1369723,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,3.51,37.06,3.56,3.88,0.016 per ?W m-3,,,
AshRSW-1B,AshRSW-1B,AshRSW-1B,,,,,Diorite,,,,,Interior Lowlands,,MN,,65N,21W,12,BAA,48.27559826,-92.96998544,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.00,36.54,3.93,2.97,0.016 per ?W m-3,,,
525 A,525 A,525A,,,,,Granite,,,,,Interior Lowlands,,MN,,168N,35W,29,ABB,49.33329498,-95.11933163,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,4.23,35.95,4.20,4.05,0.016 per ?W m-3,,,
528 A,528 A,528A,,,,,Granite,,,,,Interior Lowlands,,MN,,167N,34W,3,DDA,49.32228815,-95.0229082,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,2.74,33.57,3.59,3.44,0.016 per ?W m-3,,,
525 B,525 B,525B,,,,,Granite,,,,,Interior Lowlands,,MN,,168N,35W,29,ABC,49.33329498,-95.11933163,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.02,33.04,3.11,2.64,0.016 per ?W m-3,,,
