ObservationURI,ObservationName,Label,RelatedSampleURI,OtherID,SampleDepth,MeasurementUnits,SiteLocationURI,SiteLocationName,LocalityTerms,County,State,LatDegreeWGS84,LongDegreeWGS84,SRS,LocationUncertaintyStatement,SampleCollectionDate,SampleMeasurementDate,SampleType,SampleShape,SampleDimensionsHeight,SampleDimensionsWidth,SampleDimensionsLength,SampleDimensionsUnits,SampleDensity,UncertaintyDensity,SampleDensityUnits,Laboratory,MeasurementDevice,MeasurementProcedure,MeasurementPressure,MeasurementPressureUnits,SampleTemperature,SampleTemperatureUnits,MeasurementDuration,MeasurementDirection,MeasurementRun,BulkMixingFormula,SaturationFluid,SaturatedSampleConductivity,DrySampleConductivity,AverageThermalConductivity,UncertaintyTC,CorrectionTC,CorrectionDescription,UnitsTC,SpecificHeat,UncertaintySpecificHeat,SpecificHeatUnits,ThermalDiffusivity,UncertaintyThermalDiffusivity,UnitsThermalDiffusivity,GeologicFormationName,GeologicFormationURI,GeologicFormationType,DatumElevation,Elevation,Permeability,UnitsPermeability,Porosity,Notes,MetadataURI,Source
1985-14 180.5-181.5,1985-14,1985-14 180.5-181.5,,,180.5,meters,,,,Todd,MN,45.78,-94.7,,,,2011,Drill Hole,Cylinder,20.7,0.772,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,3.01,,,,,,,,,,,,,Unnamed,,Granite,,,,,,,,
1985-2 288.5-290,1985-2,1985-2 288.5-290,,,288.5,meters,,,,Cass,MN,46.57,-94.63,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.93,,,,,,,,,,,,,Unnamed,,Diorite,,,,,,,,
1985-3 473-474,1985-3,1985-3 473-474,,,473,meters,,,,Wadena,MN,46.52,-95,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.12,,,,,,,,,,,,,Unnamed,,Granite,,,,,,,,
1985-4 330-331.5,1985-4,1985-4 330-331.5,,,330,meters,,,,Wadena,MN,46.49,-95.07,,,,2011,Drill Hole,Cylinder,20.69,0.865,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.79,,,,,,,,,,,,,Unnamed,,Brecciated Leucotonalite,,,,,,,,
1985-5 262.5-263.5,1985-5,1985-5 262.5-263.5,,,262.5,meters,,,,Todd,MN,46.18,-95.07,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.65,,,,,,,,,,,,,Unnamed,,Metamorphosed Hornblende Tonalite/Diorite,,,,,,,,
1985-8 179.5-180.5,1985-8,1985-8 179.5-180.5,,,179.5,meters,,,,Douglas,MN,46.02,-95.28,,,,2011,Drill Hole,Cylinder,18.01,0.787,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.57,,,,,,,,,,,,,Unnamed,,Biotite Hornblende Granodiorite,,,,,,,,
1985-9 303.5-305,1985-9,1985-9 303.5-305,,,303.5,meters,,,,Douglas,MN,45.94,-95.21,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.51,,,,,,,,,,,,,Unnamed,,Gneissic Biotite Hornblende Tonalite,,,,,,,,
1986-11 287-288,1986-11,1986-11 287-288,,,287,meters,,,,Lake of the Woods,MN,48.61,-94.65,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.6,,,,,,,,,,,,,Baudette Intrusion,,Porphoryritc Syenite,,,,,,,,
1986-16 307.5-308.5,1986-16,1986-16 307.5-308.5,,,307.5,meters,,,,Lake of the Woods,MN,48.63,-94.95,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.88,,,,,,,,,,,,,Baudette Intrusion,,Gneissic Tonalite,,,,,,,,
1986-20 178-178.5,1986-20,1986-20 178-178.5,,,178,meters,,,,Roseau,MN,48.72,-95.13,,,,2011,Drill Hole,Cylinder,19.9,1.185,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.68,,,,,,,,,,,,,Unnamed,,Granodiorite,,,,,,,,
1986-2A 144-144.6,1986-2A,1986-2A 144-144.6,,,144,meters,,,,Koochiching,MN,48.48,-94.23,,,,2011,Drill Hole,Cylinder,21.8,1.166,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,3.57,,,,,,,,,,,,,Unnamed,,Granodiorite,,,,,,,,
27004 283-286,27004,27004 283-286,,,283,meters,,,,Stevens,MN,45.52,-95.99,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,,,,,,,,,,,,,,Unnamed,,Biotite Gneiss,,,,,,,,
27005 221-224,27005,27005 221-224,,,221,meters,,,,Stevens,MN,45.62,-95.91,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.27,,,,,,,,,,,,,Unnamed,,Foliate Biotite Granite,,,,,,,,
27007 309-311.5,27007,27007 309-311.5,,,309,meters,,,,Big Stone,MN,45.24,-96.12,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,3.26,,,,,,,,,,,,,Ortonville Granite,,Granite,,,,,,,,
27008 378-381,27008,27008 378-381,,,378,meters,,,,Pope,MN,45.41,-95.72,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.89,,,,,,,,,,,,,Unnamed,,Tonalitic Gneiss,,,,,,,,
27009 220-223,27009,27009 220-223,,,220,meters,,,,Pope,MN,45.53,-95.58,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.15,,,,,,,,,,,,,Unnamed,,Tonalitic Gneiss,,,,,,,,
27011 436-434,27011,27011 436-434,,,436,meters,,,,Sterns,MN,45.5,-94.57,,,,2011,Drill Hole,Cylinder,16.18,1.816,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.35,,,,,,,,,,,,,Unnamed,,Biotite Hornblende Granite,,,,,,,,
97-3 365-367,97-3,97-3 365-367,,,365,meters,,,,Aitkin,MN,46.36,-93.75,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,3.32,,,,,,,,,,,,,Mille Lacs Lake Granite,,Granite,,,,,,,,
AB-10 90-92,AB-10,AB-10 90-92,,,90,meters,,,,Aitkin,MN,46.33,-93.14,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.67,,,,,,,,,,,,,McGrath Gneiss,,Granitic Augen Gneiss,,,,,,,,
