PowerPlantFacilityURI,PlantName,PlantType,OtherID,Label,Owner,Operator,OperationalDate,Status,StatusDate,Township,Range,Section,SectionPart,UTM_E,UTM_N,UTMDatumZone,County,State,LatDegree,LongDegree,SRS,LocationUncertaintyStatement,LocationUncertaintyCode,LocationUncertaintyRadius,LocationKeyword,Notes,UseApplication,Capacity_MW,FacilityContact,PostalAddress,Zip,Phone,EMailAddress,Source,FluidTemperature_C,Flow_gpm,RelatedResource,MetadataURI,UpdateTimeStamp
http://resources.usgin.org/uri-gin/nbmg/powerplant/NBMG_ID:1/,Beowawe,Double Flash,NBMG_ID:1,Beowawe | NBMG_ID:1,Terra Gen Power,Missing,1985-01-01T00:00,Unknown,,31 N,47 E,13,,532397.91460,4489414.80025,Mt. Diablo,Lander,NV,40.555,-116.617,WGS 1984,Unknown Accuracy,,,Nevada,,Commercial/Purveyor,16.6,,,,,,MBMG - 2011; ftp://ftp.nbmg.unr.edu/pub/geothermal/05_Geothermal_Data/powerplants.zip,,,,,2011-11-01T00:00
http://resources.usgin.org/uri-gin/nbmg/powerplant/NBMG_ID:10/,Galena 2,Binary,NBMG_ID:10,Galena 2 | NBMG_ID:10,ORMAT,Missing,2007-01-01T00:00,Active,,17 N,20 E,5,,261800.44073,4361795.60389,Mt. Diablo,Washoe,NV,39.373,-119.765,WGS 1984,Unknown Accuracy,,,Steamboat Hills,"Well Permit Nos: 592, 178, 67. ",Commercial/Purveyor,13.5,"Filut, Robert ","20590 Wedge Parkway Reno, NV",89511,775-852-1444,,MBMG - 2011; ftp://ftp.nbmg.unr.edu/pub/geothermal/05_Geothermal_Data/powerplants.zip,,,,,2011-11-01T00:00
http://resources.usgin.org/uri-gin/nbmg/powerplant/NBMG_ID:11/,Stillwater,Binary,NBMG_ID:11,Stillwater | NBMG_ID:11,ENEL,Missing,2009-01-01T00:00,Unknown,,19 N,30 E,1,,366228.27308,4378732.27864,Mt. Diablo,Churchhill,NV,39.548,-118.557,WGS 1984,Unknown Accuracy,,,Nevada,,Commercial/Purveyor,21.0,nil:missing,,,,,MBMG - 2011; ftp://ftp.nbmg.unr.edu/pub/geothermal/05_Geothermal_Data/powerplants.zip,,,,,2011-11-01T00:00
http://resources.usgin.org/uri-gin/nbmg/powerplant/NBMG_ID:12/,"Soda Lake 1, 2",Binary,NBMG_ID:12,"Soda Lake 1, 2 | NBMG_ID:12",Constellation Operating Services,Missing,1987-01-01T00:00,Unknown,,20 N,28 E,33,,341112.44395,4380170.59323,Mt. Diablo,Fallon,NV,39.557,-118.849,WGS 1984,Unknown Accuracy,,,Nevada,,Commercial/Purveyor,26.1,nil:missing,,,,,MBMG - 2011; ftp://ftp.nbmg.unr.edu/pub/geothermal/05_Geothermal_Data/powerplants.zip,,,,,2011-11-01T00:00
http://resources.usgin.org/uri-gin/nbmg/powerplant/NBMG_ID:13/,Wabuska,Binary,NBMG_ID:13,Wabuska | NBMG_ID:13,Nevada Geothermal,Missing,1984-01-01T00:00,Unknown,,15 N,25 E,15,,311666.66766,4337261.89180,Mt. Diablo,Wabuska,NV,39.164,-119.180,WGS 1984,Unknown Accuracy,,,Nevada,,Commercial/Purveyor,2.2,nil:missing,,,,,MBMG - 2011; ftp://ftp.nbmg.unr.edu/pub/geothermal/05_Geothermal_Data/powerplants.zip,,,,,2011-11-01T00:00
http://resources.usgin.org/uri-gin/nbmg/powerplant/NBMG_ID:14/,Blue Mountain,,NBMG_ID:14,Blue Mountain | NBMG_ID:14,Nevada Geothermal,Missing,1900-01-01T00:00,Unknown,,36 N,34 E,14,,404447.25890,4538406.88036,Mt. Diablo,Humboldt,NV,40.991,-118.136,WGS 1984,Unknown Accuracy,,,Nevada,,nil:missing,48.5,nil:missing,,,,,MBMG - 2011; ftp://ftp.nbmg.unr.edu/pub/geothermal/05_Geothermal_Data/powerplants.zip,,,,,2011-11-01T00:00
http://resources.usgin.org/uri-gin/nbmg/powerplant/NBMG_ID:15/,Salt Wells,Binary,NBMG_ID:15,Salt Wells | NBMG_ID:15,ENEL,Missing,2009-01-01T00:00,Unknown,,17 N,30 E,25,,364296.14852,4352375.20965,Mt. Diablo,Churchhill,NV,39.310,-118.574,WGS 1984,Unknown Accuracy,,,Nevada,,nil:missing,15.0,nil:missing,,,,,MBMG - 2011; ftp://ftp.nbmg.unr.edu/pub/geothermal/05_Geothermal_Data/powerplants.zip,,,,,2011-11-01T00:00
http://resources.usgin.org/uri-gin/nbmg/powerplant/NBMG_ID:2/,Brady,Double Flash,NBMG_ID:2,Brady | NBMG_ID:2,ORMAT,Missing,1992-01-01T00:00,Unknown,,22 N,26 E,12,,327911.64968,4407088.27486,Mt. Diablo,Churchhill,NV,39.796,-119.010,WGS 1984,Unknown Accuracy,,,Nevada,,nil:missing,26.1,nil:missing,,,,,MBMG - 2011; ftp://ftp.nbmg.unr.edu/pub/geothermal/05_Geothermal_Data/powerplants.zip,,,,,2011-11-01T00:00
http://resources.usgin.org/uri-gin/nbmg/powerplant/NBMG_ID:3/,Desert Peak,Binary,NBMG_ID:3,Desert Peak | NBMG_ID:3,ORMAT,Missing,2006-01-01T00:00,Unknown,,22 N,27 E,21,,332634.30369,4402147.95040,Mt. Diablo,Churchhill,NV,39.753,-118.954,WGS 1984,Unknown Accuracy,,,Nevada,,nil:missing,27.5,nil:missing,,,,,MBMG - 2011; ftp://ftp.nbmg.unr.edu/pub/geothermal/05_Geothermal_Data/powerplants.zip,,,,,2011-11-01T00:00
http://resources.usgin.org/uri-gin/nbmg/powerplant/NBMG_ID:30/,NCPA 1,,NBMG_ID:30,NCPA 1 | NBMG_ID:30,Northern California Power Agency,Missing,1900-01-01T00:00,Unknown,,10 N,8 W,2,central,2845.34432,4304817.58352,Mt. Diablo,Lake,CA,38.752,-122.719,WGS 1984,Unknown Accuracy,,,The Geysers,,nil:missing,110.0,nil:missing,,,,,MBMG - 2011; ftp://ftp.nbmg.unr.edu/pub/geothermal/05_Geothermal_Data/powerplants.zip,,,,,2011-11-01T00:00
